num_departement,commune,siret,denomination,nom,enseigne,adresse,date_creation,tranche_eff
44,BAULE ESCOUBLAC (LA),75353149000013,SARL ADONIS LA BAULE,SARL ADONIS LA BAULE,ADONIS LA BAULE,53 Avenue du Marechal Franchet d'Espérey 44500 La Baule-Escoublac,2012,02
44,PIRIAC SUR MER,49438308600027,CEDAXESYL,CEDAXESYL,HOTEL DU PORT,3 Quai de Verdun 44420 Piriac-sur-Mer,2007,02
44,HAUTE GOULAINE,34528372500017,HOTEL DE LA LOUEE,HOTEL DE LA LOUEE,,Route de la Louée 44115 Haute-Goulaine,1988,02
44,LOIREAUXENCE,45361101400011,EURL TERRIEN JEAN-MARC,EURL TERRIEN JEAN MARC,LA CLOSERIE DES ROSES,455 Rue de la Haute Meilleraie 44370 Loireauxence,2004,02
44,SAINTE LUCE SUR LOIRE,47792561400018,SORIMO,SORIMO,,2 Rue Louis Armand 44980 Sainte-Luce-sur-Loire,2004,02
44,CHAPELLE SUR ERDRE (LA),45033702700046,NID'ANGE,NID ANGE,,Rue du Val de Gesvres 44240 La Chapelle-sur-Erdre,2003,02
44,BAULE ESCOUBLAC (LA),43175224500016,LA MASCOTTE,LA MASCOTTE,,26 Avenue Marie-louise 44500 La Baule-Escoublac,2000,02
44,NANTES,43188889000016,SONICO,SONICO,,36 Rue Maréchal Joffre 44000 Nantes,2000,02
44,ORVAULT,30085010400039,HOTEL DU PARC,HOTEL DU PARC,,92 Rue de la Garenne 44700 Orvault,1991,02
44,PORNICHET,40024977700022,VILLA FLORNOY,VILLA FLORNOY,,7 Avenue Flornoy 44380 Pornichet,1995,02
44,SAVENAY,51843021000014,MCJ,MCJ,HOTEL LE CHENE VERT,10 Place de l'Hôtel de Ville 44260 Savenay,2009,02
44,SAINT NAZAIRE,50826344900011,SARL DELCYG  &  CO,SARL DELCYG CO,ANAIADE,45 Route de Fondeline 44600 Saint-Nazaire,2008,02
44,SAINT LYPHARD,53401790000018,PRESQU'ILE REST,PRESQU ILE REST,LES CHAUMIERES DU LAC AUBERGE LES TYPHAS,Rue du Vignonnet 44410 Saint-Lyphard,2011,02
44,VALLONS DE L'ERDRE,51184759200017,LE PRIEURE,LE PRIEURE,,Rue du Prieuré 44540 Vallons-de-l'Erdre,2009,02
44,SAINT BREVIN LES PINS,75139327300014,SARL SALOME,SARL SALOME,LE PETIT TRIANON,239 Avenue de Mindin 44250 Saint-Brevin-les-Pins,2012,02
44,CHEVROLIERE (LA),49860949400022,VILLA DES MARAIS,VILLA DES MARAIS,VILLA DES MARAIS,4 Rue de la Guillauderie 44118 La Chevrolière,2008,01
44,THOUARE SUR LOIRE,47955980900021,CALIHU,CALIHU,LA CLOSERIE,32 Route du Chêne Vert 44470 Thouaré-sur-Loire,2004,01
44,CHATEAUBRIANT,50971724500013,SIMON*ARNAUD JONNHY/,MONSIEUR ARNAUD SIMON,LE CASTILLO,21 Rue d'Ancenis 44110 Châteaubriant,2009,01
44,SAINT NAZAIRE,44060012000016,HOTEL LE BRETAGNE,HOTEL LE BRETAGNE,,7 Avenue de la République 44600 Saint-Nazaire,2002,01
44,LOIREAUXENCE,41884783600024,SARL LE PORT,SARL LE PORT,LE PETIT PECHEUR,50 Rue de la Haute Meilleraie 44370 Loireauxence,2005,01
44,NORT SUR ERDRE,48464088300019,SARL LE RELAIS DE LA GRANGE,SARL LE RELAIS DE LA GRANGE,,Rue d'Anjou 44390 Nort-sur-Erdre,2005,01
44,NOZAY,48529554700015,THEOLISE,THEOLISE,HOTEL DES 3 MARCHANDS,1 Route d'Abbaretz 44170 Nozay,2005,01
44,PIRIAC SUR MER,44870194600015,ARCHE DE NOE,ARCHE DE NOE,,26 Rue de la Plage 44420 Piriac-sur-Mer,2003,01
44,BAULE ESCOUBLAC (LA),00587002700017,HOTEL LA CONCORDE,HOTEL LA CONCORDE,,1 b Avenue de la Concorde 44500 La Baule-Escoublac,1969,01
44,BAULE ESCOUBLAC (LA),44424435400015,LA CLE ET LA COUETTE,LA CLE ET LA COUETTE,LE SAINT PIERRE HOTELS LA BAULE,124 Avenue du Maréchal de Lattre de Tassigny 44500 La Baule-Escoublac,2002,01
44,BAULE ESCOUBLAC (LA),38092669100011,LE LUTETIA & SPA,LE LUTETIA SPA,LE LUTETIA & SPA,13 Avenue Olivier Guichard 44500 La Baule-Escoublac,1991,01
44,CHAPELLE SUR ERDRE (LA),81143009900010,WEST EVENTS TAVERNY,WEST EVENTS TAVERNY,,30 Rue de l'Europe 44240 La Chapelle-sur-Erdre,2015,01
44,NANTES,51378133600013,ODIXA,ODIXA,HOTEL COEUR DE LOIRE,3 Rue Anatole le Braz 44000 Nantes,2009,01
44,SAINT NICOLAS DE REDON,52328895900019,HOLDING ANDI,HOLDING ANDI,,42 Avenue Jean Burel 44460 Saint-Nicolas-de-Redon,2010,01
44,TURBALLE (LA),75051776500012,MARTINAND,MARTINAND,,11 Boulevard Bellanger 44420 La Turballe,2012,01
44,LOROUX BOTTEREAU (LE),53534564900011,LE CHEVAL BLANC,LE CHEVAL BLANC,LE CHEVAL BLANC,6 Place Saint-jean 44430 Le Loroux-Bottereau,2011,01
44,GUEMENE PENFAO,52459093200017,LE CHALET I.R,LE CHALET I R,,Rue des Moulins 44290 Guémené-Penfao,2010,01
44,NANTES,52047101200010,AMIRIS,AMIRIS,HOTEL DU CHATEAU,5 Place de la Duchesse Anne 44000 Nantes,2010,01
44,CHAPELLE SUR ERDRE (LA),81250759800017,WEST EVENTS TOURS EST,WEST EVENTS TOURS EST,,30 Rue de l'Europe 44240 La Chapelle-sur-Erdre,2015,01
44,BAULE ESCOUBLAC (LA),80302428000015,SNC LE QUINTREC - JAFFREDO,SNC LE QUINTREC JAFFREDO,HOTEL ASTROLABE - CAFE DES SPORTS,106 Avenue du Maréchal de Lattre de Tassigny 44500 La Baule-Escoublac,2014,01
44,NANTES,80061014900018,LB HOTEL,LB HOTEL,,11 Rue Fourcroy 44000 Nantes,2014,01
44,MISSILLAC,79801846100029,ALYS,ALYS,,La Briandais 44780 Missillac,2013,01
